Country,Country Code,Year,inflation_rate,unemployment_rate,debt_to_gdp_ratio,foreign_direct_investment
Luxembourg,LUX,2022,6.33600807777919,4.585,26.2348785615705,-440.130675365293
Malawi,MWI,2022,20.953969729969,5.051,52.6332414580372,1.51359267223635
Malaysia,MYS,2022,3.37869862549928,3.93,60.2666404179702,3.69213247099394
Malta,MLT,2022,6.15375621933037,2.929,59.1069565712335,26.3073090892314
Mauritius,MUS,2022,10.7737512242899,6.322,57.9616604310028,4.48464092625688
Mexico,MEX,2022,7.8962761916855,3.256,43.2083049969807,2.67253252741936
Moldova,MDA,2022,28.7372976766235,0.909,34.5213178653949,4.03873317396035
Mongolia,MNG,2022,15.1479560897226,6.211,66.9231097170798,14.6053065112102
Mozambique,MOZ,2022,10.2794018093421,3.621,78.619725628407,16.4187677239126
Nepal,NPL,2022,7.6507917679853,10.922,39.9222686422289,0.158939273729586
Netherlands,NLD,2022,10.0012078753473,3.524,53.6715389614928,1.54176048931155
North America,NAC,2022,7.40280048696867,3.83374835132991,105.749987220856,1.64428650304855
Norway,NOR,2022,5.76412317852272,3.233,28.7124990583705,2.42127009824237
OECD members,OED,2022,8.23803240697186,4.98417502472304,103.105561328851,1.50319972006506
Other small states,OSS,2022,7.04234273681562,8.27402660239825,97.4166435968981,5.51303294954908
Papua New Guinea,PNG,2022,5.25323922215241,2.689,48.2553884027402,1.45049492423203
Peru,PER,2022,8.33370630096231,3.85,34.854576014351,4.54440029182456
Poland,POL,2022,14.4294507575758,2.886,50.1481072903,5.34966102488684
Portugal,PRT,2022,7.83269124233323,6.011,119.395321819713,3.7347831275901
Post-demographic dividend,PST,2022,7.83269124233323,4.50999157227142,107.612616968952,1.83450801909089
Romania,ROU,2022,13.7954887432521,5.614,50.4529689825221,3.84002591189183
Russian Federation,RUS,2022,6.69445891957612,3.867,17.5820985394065,-1.7564179452356
Singapore,SGP,2022,6.12106004039418,3.591,157.363109274773,29.8437975950876
Slovak Republic,SVK,2022,12.7741463637611,6.143,64.5071321483903,3.50329709693865
Slovenia,SVN,2022,8.83369886749452,4.013,71.8619401626324,3.63014778371891
Small states,SST,2022,6.27689319447544,8.11159054588073,75.1475679335111,5.14755681504828
Solomon Islands,SLB,2022,5.51812928576938,1.579,15.3931660730361,2.59958214293394
South Africa,ZAF,2022,7.03972661255866,28.838,73.0031701177656,2.27970771305152
South Asia,SAS,2022,7.6507917679853,5.14528947887754,46.5656471581167,1.26895634306069
South Asia (IDA & IBRD),TSA,2022,7.6507917679853,5.14528947887754,46.5656471581167,1.26895634306069
Spain,ESP,2022,8.39057634118627,12.917,104.789911636384,3.62710116814915
Sri Lanka,LKA,2022,49.7211021114327,6.33,73.512659162998,1.19246339043783
Sweden,SWE,2022,8.36929098869189,7.392,36.25306055328,8.11968609664236
Switzerland,CHE,2022,2.83502798644463,4.3,18.1544953419673,-1.34268979434697
Tonga,TON,2022,10.9713652903022,2.354,45.0157756761004,1.49757805403944
Turkiye,TUR,2022,72.3088359891207,10.432,36.0900778500171,1.50652874623229
Uganda,UGA,2022,7.1957888597581,2.93,53.890283064004,6.48067616187328
Ukraine,UKR,2022,20.1836366617478,9.834,57.0842008078586,0.136428578229067
United Kingdom,GBR,2022,7.92204883147902,3.73,142.283042050199,1.45355288195858
United States,USA,2022,8.00279982052121,3.65,110.385331665016,1.58864311787381
Uruguay,URY,2022,9.10437983075437,7.877,62.3840106227135,12.1507388580806
Vanuatu,VUT,2022,6.67930581887121,5.171,87.0720898262884,1.04625135146101
World,WLD,2022,7.96757361617945,5.26461597288318,97.977905866528,1.74912028134132
Zambia,ZMB,2022,10.9932039209136,5.993,71.4111761686383,-0.223286755156161
