Country,Country Code,Year,inflation_rate,unemployment_rate,debt_to_gdp_ratio,foreign_direct_investment,population,population_density_km,years_existed,conflict_count,gdp_nominal,gdp_ppp_per_capita,gdp_nominal_per_capita,gini_coefficient,human_development_index,gross_external_debt
Arab World,ARB,2021,2.96581008346283,10.7832971150998,,2.16583173456037,456520777.0,34.8474272739049,70.814483021063,,2969116805615.58,15640.1570360399,6503.79337634305,,,
Arab World,ARB,2020,1.61222220402456,11.2313838426467,,1.30731899917805,449228296.0,34.2907992634507,70.9233595872331,,2576553324185.61,14314.7721939757,5735.50986687093,,,
Arab World,ARB,2019,1.04883403678997,10.1413306101718,,1.24814550201397,441467739.0,33.6984280194777,71.8446260250446,,2898668715645.56,15550.0988946261,6565.98083975861,,,
Arab World,ARB,2018,2.76275077032944,10.5986007596487,,1.54897716995652,432545676.0,33.0174231145493,71.6330166549463,,2865543585777.95,15434.3679645583,6624.83465856668,,,
Arab World,ARB,2017,2.06932928164433,11.0687158153229,,1.22720615633391,423664839.0,32.3395190118262,71.4295960025113,,2571053716382.94,14439.4061573788,6068.60300810317,,,
Arab World,ARB,2016,2.37271603075831,10.8073210701761,,1.93174522733151,415077960.0,31.6840610024221,70.9430622781923,,2499965913229.88,13839.3946265852,6022.88281755523,,,
Arab World,ARB,2015,1.83135233156368,11.0704528945073,,0.860731114958129,406501999.0,31.0294362944761,70.7582222288211,3.8,2544136348540.18,14275.7189645299,6258.60722652973,,,
Arab World,ARB,2014,2.64755321246189,10.9400026753672,,0.868303974863404,397922915.0,30.3745893292785,70.4926288711295,4.2,2905075942181.63,15743.4224414507,7300.59977114317,,,
Argentina,ARG,2023,,6.178,,3.72564181198123,46654581.0,,,,640591410663.883,29362.6924187322,13730.5147090247,,,
Argentina,ARG,2022,,6.805,,2.40846085668622,46234830.0,,76.064,,631133384439.944,29037.4891215021,13650.6046294524,40.7,,247680809683.7
Argentina,ARG,2021,,8.736,,1.36462688641751,45808747.0,16.7387416916056,75.39,4.62267855620475,487902572164.348,26086.8023552274,10650.8604604345,42.4,,246306711414.0
Argentina,ARG,2020,,11.461,,1.26616924308721,45376763.0,16.580892611147,75.892,5.36681384363525,385740508436.965,22302.1504890016,8500.83793850534,42.7,0.602144718170166,255558142878.8
Argentina,ARG,2019,,9.843,,1.48500687570697,44938712.0,16.4208266190179,77.284,5.15582342098159,447754683615.225,23535.01275094,9963.67416171662,43.3,,280684783388.0
Argentina,ARG,2018,,9.221,,2.23253157689253,44494502.0,16.2585100979651,76.999,5.36772568472051,524819892360.176,24498.378926706,11795.1627452798,41.7,0.61736673116684,277827089406.2
Argentina,ARG,2017,,8.347,,1.78936504083807,44044811.0,16.0941907925267,76.833,5.25938076500315,643628393281.364,23514.6670870249,14613.0356486571,41.4,0.611,225925335186.1
Argentina,ARG,2016,,8.083,,0.584748941173009,43590368.0,15.9281350828921,76.308,6.01123358722838,557532320662.955,20248.7213872191,12790.2641396135,42.3,,181638508190.7
Argentina,ARG,2015,,7.58,,1.97713461784426,43131966.0,15.7606327351655,76.76,6.55846615392808,594749285413.212,20058.3386388829,13789.060424772,,,177184603465.6
Argentina,ARG,2014,,7.268,,0.962406650325519,42669500.0,15.5916453818299,76.755,7.53781983762934,526319673731.638,19649.3528905429,12334.7982453893,41.8,,153793761987.6
Armenia,ARM,2023,1.98041877615554,8.586,,2.39700087371222,2777970.0,,,,24212134631.064,23054.6005230691,8715.76533622178,,,
